,Date,Station,Gates,Barrier_Hit,HCSS_Error,HCSS_Uncleared,Intrusion,Passage_Cancel,Tailgate
397,2018-10-15,MSP,G11,0,1,0,7,1,1
398,2018-10-15,MSP,G12,0,0,0,1,141,0
399,2018-10-15,NEW,G01,0,0,0,12,98,53
400,2018-10-15,NEW,G02,0,0,0,7,19,16
401,2018-10-15,NEW,G03,0,5,1,6,47,26
402,2018-10-15,NEW,G04,0,0,0,5,61,14
403,2018-10-15,NEW,G05,0,1,0,4,36,10
404,2018-10-15,NEW,G06,0,0,0,7,32,15
405,2018-10-15,NEW,G07,0,0,0,0,0,0
406,2018-10-15,NEW,G08,0,27,1,9,40,18
407,2018-10-15,NEW,G09,0,106,0,7,14,17
408,2018-10-15,NEW,G10,0,8,0,5,13,6
409,2018-10-15,NEW,G11,0,15,1,17,17,5
410,2018-10-15,NEW,G12,0,0,0,5,15,2
411,2018-10-15,NOV,G01,0,0,0,5,89,17
412,2018-10-15,NOV,G02,1,1,0,7,15,17
413,2018-10-15,NOV,G03,0,0,0,8,53,25
414,2018-10-15,NOV,G04,0,0,0,3,14,15
415,2018-10-15,NOV,G05,0,0,0,0,0,0
416,2018-10-15,NOV,G06,0,0,0,9,65,29
417,2018-10-15,NOV,G07,2,0,0,14,22,32
418,2018-10-15,NOV,G08,1,0,0,15,99,43
419,2018-10-15,NOV,G09,0,0,0,18,66,27
420,2018-10-15,NOV,G10,1,0,0,18,48,40
421,2018-10-15,ORC,G01,0,1,0,19,17,58
422,2018-10-15,ORC,G02,0,0,0,14,32,28
423,2018-10-15,ORC,G03,0,1,0,27,14,19
424,2018-10-15,ORC,G04,1,1,0,15,21,24
425,2018-10-15,ORC,G05,0,1,0,6,8,16
426,2018-10-15,ORC,G06,0,4,0,9,11,12
427,2018-10-15,ORC,G07,0,1,0,8,9,7
428,2018-10-15,ORC,G08,0,2,0,6,6,3
429,2018-10-15,ORC,G09,0,1,0,7,8,2
430,2018-10-15,ORC,G10,0,2,0,2,14,8
431,2018-10-15,ORC,G11,0,3,0,10,9,6
432,2018-10-15,ORC,G12,0,0,0,0,0,0
433,2018-10-15,ORC,G13,0,2,0,9,3,7
434,2018-10-15,ORC,G14,0,1,0,10,7,10
435,2018-10-15,ORC,G15,0,2,0,11,11,4
436,2018-10-15,ORC,G16,0,1,0,4,7,6
437,2018-10-15,ORC,G17,0,2,0,5,8,2
438,2018-10-15,ORC,G18,0,1,0,8,7,7
439,2018-10-15,ORC,G19,0,1,0,1,13,6
440,2018-10-15,ORC,G20,0,0,0,4,6,4
441,2018-10-15,ORC,G21,0,4,0,14,7,8
442,2018-10-15,ORC,G22,0,2,0,5,8,17
443,2018-10-15,ORC,G23,0,2,0,24,19,21
444,2018-10-15,ORC,G24,0,1,0,6,66,31
445,2018-10-15,ORC,G25,0,0,0,7,47,27
446,2018-10-15,ORC,G26,1,0,0,4,13,17
447,2018-10-15,ORC,G27,0,0,0,8,52,26
448,2018-10-15,ORC,G28,0,1,0,23,43,23
449,2018-10-15,ORC,G29,0,2,0,0,15,1
450,2018-10-15,OTP,G01,0,2,0,4,17,6
451,2018-10-15,OTP,G02,0,1,0,3,4,4
452,2018-10-15,OTP,G03,0,4,0,2,3,2
453,2018-10-15,OTP,G04,0,0,0,0,4,2
454,2018-10-15,OTP,G05,0,2,0,4,12,15
455,2018-10-15,OTP,G06,0,2,0,3,6,0
456,2018-10-15,OTP,G07,0,0,0,0,0,0
457,2018-10-15,OTP,G08,0,5,0,2,1,2
458,2018-10-15,OTP,G09,0,3,0,1,2,1
459,2018-10-15,OTP,G10,0,0,0,0,6,3
460,2018-10-15,OTP,G11,0,1,0,2,11,5
461,2018-10-15,OTP,G12,0,1,0,2,2,1
462,2018-10-15,OTP,G13,0,1,0,2,4,0
463,2018-10-15,OTP,G14,0,0,0,1,6,6
464,2018-10-15,OTP,G15,0,0,0,0,0,0
465,2018-10-15,OTP,G16,0,0,0,0,0,0
466,2018-10-15,OTP,G17,0,0,0,0,0,0
467,2018-10-15,OTP,G18,0,0,0,0,0,0
468,2018-10-15,PSR,G01,0,1,1,8,64,31
469,2018-10-15,PSR,G02,0,82,1,2,60,27
470,2018-10-15,PSR,G03,0,0,0,8,71,22
471,2018-10-15,PSR,G04,1,0,0,16,41,32
472,2018-10-15,PSR,G05,0,0,0,10,26,28
473,2018-10-15,PSR,G06,0,0,0,11,15,23
474,2018-10-15,PSR,G07,0,0,0,0,0,0
475,2018-10-15,PSR,G08,1,88,0,6,51,13
476,2018-10-15,PSR,G09,1,0,0,4,38,29
477,2018-10-15,PSR,G10,0,2,0,7,12,14
478,2018-10-15,PYL,G01,0,0,0,0,0,0
479,2018-10-15,PYL,G02,0,1,0,12,26,23
480,2018-10-15,PYL,G03,0,0,0,5,9,27
481,2018-10-15,PYL,G04,0,0,0,18,17,37
482,2018-10-15,PYL,G05,0,0,0,9,26,13
483,2018-10-15,PYL,G06,0,0,0,11,30,13
484,2018-10-15,PYL,G07,0,0,0,9,17,15
485,2018-10-15,PYL,G08,0,1,0,8,11,8
486,2018-10-15,QUE,G01,0,1,0,4,26,21
487,2018-10-15,QUE,G02,0,32,1,2,20,9
