Datetime,Date,Time,Station,Gate
2018-10-15 06:58:23,2018-10-15,06:58:23,YWT,G01
2018-10-15 06:58:24,2018-10-15,06:58:24,WDL,G13
2018-10-15 06:58:46,2018-10-15,06:58:46,WDL,G13
2018-10-15 06:58:50,2018-10-15,06:58:50,ADM,G07
2018-10-15 06:58:59,2018-10-15,06:58:59,JUR,G17
2018-10-15 06:59:04,2018-10-15,06:59:04,TAM,G12
2018-10-15 06:59:08,2018-10-15,06:59:08,TNM,G03
2018-10-15 06:59:21,2018-10-15,06:59:21,TIB,G09
2018-10-15 06:59:35,2018-10-15,06:59:35,TAP,G12
2018-10-15 06:59:36,2018-10-15,06:59:36,NOV,G07
2018-10-15 06:59:40,2018-10-15,06:59:40,SBW,G02
2018-10-15 06:59:57,2018-10-15,06:59:57,CLE,G05
2018-10-15 07:00:06,2018-10-15,07:00:06,AMK,G05
2018-10-15 07:00:07,2018-10-15,07:00:07,WDL,G10
2018-10-15 07:00:15,2018-10-15,07:00:15,BHC,G09
2018-10-15 07:00:42,2018-10-15,07:00:42,MSL,G08
2018-10-15 07:00:46,2018-10-15,07:00:46,PSR,G04
2018-10-15 07:00:54,2018-10-15,07:00:54,SIM,G03
2018-10-15 07:00:56,2018-10-15,07:00:56,LKS,G04
2018-10-15 07:01:13,2018-10-15,07:01:13,BFT,G10
2018-10-15 07:01:15,2018-10-15,07:01:15,TAP,G10
2018-10-15 07:01:19,2018-10-15,07:01:19,WDL,G03
2018-10-15 07:01:19,2018-10-15,07:01:19,MSL,G03
2018-10-15 07:01:21,2018-10-15,07:01:21,NEW,G03
2018-10-15 07:01:26,2018-10-15,07:01:26,JUR,G09
2018-10-15 07:01:29,2018-10-15,07:01:29,EUN,G10
2018-10-15 07:01:31,2018-10-15,07:01:31,KTB,G05
2018-10-15 07:01:32,2018-10-15,07:01:32,BGS,G04
2018-10-15 07:01:47,2018-10-15,07:01:47,JUR,G13
2018-10-15 07:01:50,2018-10-15,07:01:50,JUR,G23
2018-10-15 07:01:57,2018-10-15,07:01:57,BBT,G07
2018-10-15 07:01:59,2018-10-15,07:01:59,AMK,G14
2018-10-15 07:02:02,2018-10-15,07:02:02,BDL,G02
2018-10-15 07:02:19,2018-10-15,07:02:19,PSR,G10
2018-10-15 07:02:26,2018-10-15,07:02:26,JUR,G10
2018-10-15 07:02:28,2018-10-15,07:02:28,JUR,G24
2018-10-15 07:02:41,2018-10-15,07:02:41,YWT,G02
2018-10-15 07:02:45,2018-10-15,07:02:45,WDL,G08
2018-10-15 07:02:53,2018-10-15,07:02:53,BDL,G01
2018-10-15 07:02:54,2018-10-15,07:02:54,TNM,G07
2018-10-15 07:03:03,2018-10-15,07:03:03,JUR,G23
2018-10-15 07:03:03,2018-10-15,07:03:03,CLE,G07
2018-10-15 07:03:06,2018-10-15,07:03:06,ADM,G06
2018-10-15 07:03:08,2018-10-15,07:03:08,BDL,G01
2018-10-15 07:03:12,2018-10-15,07:03:12,BGS,G11
2018-10-15 07:03:13,2018-10-15,07:03:13,YWT,G03
2018-10-15 07:03:14,2018-10-15,07:03:14,BGB,G04
2018-10-15 07:03:15,2018-10-15,07:03:15,BNL,G11
2018-10-15 07:03:16,2018-10-15,07:03:16,WDL,G13
2018-10-15 07:03:21,2018-10-15,07:03:21,TNM,G06
2018-10-15 07:03:32,2018-10-15,07:03:32,BNL,G01
2018-10-15 07:03:33,2018-10-15,07:03:33,SBW,G09
2018-10-15 07:03:33,2018-10-15,07:03:33,JUR,G22
2018-10-15 07:03:37,2018-10-15,07:03:37,KTB,G04
2018-10-15 07:03:49,2018-10-15,07:03:49,ADM,G03
2018-10-15 07:04:00,2018-10-15,07:04:00,SBW,G06
2018-10-15 07:04:07,2018-10-15,07:04:07,TAP,G02
2018-10-15 07:04:17,2018-10-15,07:04:17,WDL,G05
2018-10-15 07:04:24,2018-10-15,07:04:24,JUR,G16
2018-10-15 07:04:26,2018-10-15,07:04:26,WDL,G05
2018-10-15 07:04:39,2018-10-15,07:04:39,YIS,G10
2018-10-15 07:04:43,2018-10-15,07:04:43,JUR,G08
2018-10-15 07:04:46,2018-10-15,07:04:46,AMK,G06
2018-10-15 07:04:58,2018-10-15,07:04:58,LKS,G10
2018-10-15 07:05:00,2018-10-15,07:05:00,NEW,G08
2018-10-15 07:05:06,2018-10-15,07:05:06,BGB,G04
2018-10-15 07:05:08,2018-10-15,07:05:08,LKS,G04
2018-10-15 07:05:18,2018-10-15,07:05:18,ORC,G01
2018-10-15 07:05:18,2018-10-15,07:05:18,CTH,G09
